level;position;tech_stack;experience;gender;company;company_size;work_type;city;currency;salary;raise_period
Senior;CTO;.Net;15 Yýl ve üzeri;Erkek;Yazýlým Evi & Danýþmanlýk;6 - 10 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;150.000 - 154.999;2
Middle;Back-end Developer;.Net;3 - 5 Yýl;Erkek;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;46.000 - 46.999;2
Junior;Embedded Software Developer;"Python;C / C++";1 - 3 Yýl;Erkek;Kurumsal;250+;Ofis;Ankara;? - Türk Lirasý;39.000 - 39.999;2
Senior;Mobile Application Developer (iOS);"Swift;Objective C";12 - 14 Yýl;Erkek;E-Ticaret;250+;Ofis;Ankara;? - Türk Lirasý;125.000 - 129.999;2
Middle;Mobile Application Developer (Android);"Java;Kotlin";3 - 5 Yýl;Erkek;Banka;250+;Remote;Ýstanbul;? - Türk Lirasý;75.000 - 79.999;2
Middle;Back-end Developer;Java;1 - 3 Yýl;Erkek;Startup;21 - 50 Kiþi;Remote;Bursa;? - Türk Lirasý;50.000 - 50.999;4
Senior;Back-end Developer;"Java;.Net";3 - 5 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;80.000 - 84.999;1
Junior;Full Stack Developer;".Net;Go;React";1 - 3 Yýl;Erkek;Kurumsal;250+;Remote;Kocaeli;? - Türk Lirasý;38.000 - 38.999;2
Senior;Full Stack Developer;"Java;JavaScript | Html | Css;Cobol";12 - 14 Yýl;Erkek;Banka;250+;Remote;Kocaeli;? - Türk Lirasý;115.000 - 119.999;2
Senior;Back-end Developer;.Net;10 - 12 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;95.000 - 99.999;2
Senior;Team / Tech Lead;"Go;React;Angular";15 Yýl ve üzeri;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;175.000 - 179.999;2
Senior;Back-end Developer;Plsql;10 - 12 Yýl;Erkek;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;130.000 - 134.999;2
Junior;Front-end Developer;JavaScript | Html | Css;1 - 3 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;6 - 10 Kiþi;Ofis;Kocaeli;? - Türk Lirasý;19.000 - 19.999;1
Junior;Full Stack Developer;"NodeJS;React";1 - 3 Yýl;Erkek;Startup;6 - 10 Kiþi;Remote;Tokat;? - Türk Lirasý;30.000 - 30.999;1
Middle;Mobile Application Developer (iOS);Swift;1 - 3 Yýl;Erkek;Startup;1 - 5 Kiþi;Remote;Antalya;? - Türk Lirasý;200.000+;1
Middle;Back-end Developer;"Java;Python";5 - 7 Yýl;Erkek;Kurumsal;250+;Remote;* Almanya;€ - Euro;4.000 - 4.999;2
Junior;Data Analyst;"Python;Power bi dax sql";1 - 3 Yýl;Erkek;Kurumsal;250+;Ofis;Ýstanbul;? - Türk Lirasý;33.000 - 33.999;1
Senior;Back-end Developer;Java;12 - 14 Yýl;Erkek;E-Ticaret;250+;Hibrit (Ofis + Remote);* Hollanda;€ - Euro;4.000 - 4.999;1
Junior;Full Stack Developer;.Net;1 - 3 Yýl;Erkek;Kurumsal;250+;Remote;Ýzmir;? - Türk Lirasý;33.000 - 33.999;1
Senior;Back-end Developer;Java;7 - 10 Yýl;Erkek;Outsource;250+;Remote;Eskiþehir;? - Türk Lirasý;115.000 - 119.999;2
Junior;Full Stack Developer;".Net;JavaScript | Html | Css";1 - 3 Yýl;Erkek;Outsource;250+;Remote;Ýstanbul;? - Türk Lirasý;31.000 - 31.999;2
Senior;Team / Tech Lead;".Net;Go;React";7 - 10 Yýl;Erkek;E-Ticaret;250+;Remote;Ýstanbul;? - Türk Lirasý;120.000 - 124.999;2
Junior;Full Stack Developer;".Net;JavaScript | Html | Css";0 - 1 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;6 - 10 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;30.000 - 30.999;1
Middle;Data Scientist;Python;3 - 5 Yýl;Erkek;Startup;250+;Hibrit (Ofis + Remote);Ýstanbul;$ - Dolar;2.000 - 2.999;1
Senior;Back-end Developer;Php;5 - 7 Yýl;Erkek;Startup;21 - 50 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;70.000 - 70.999;1
Senior;Team / Tech Lead;NodeJS;5 - 7 Yýl;Erkek;Outsource;250+;Remote;Ankara;? - Türk Lirasý;100.000 - 104.999;3
