level,experience,gender,company_size,currency,raise_period,known_number_of_tech,converted_salary
2,7,0,1,0,2,1,152.5
1,2,0,6,0,2,1,46.499
0,1,0,6,0,2,2,39.499
2,6,0,6,0,2,2,127.499
1,2,0,6,0,2,2,77.499
1,1,0,3,0,4,1,50.499
2,2,0,6,0,1,2,82.499
0,1,0,6,0,2,3,38.499
2,6,0,6,0,2,3,117.499
2,5,0,6,0,2,1,97.499
2,7,0,6,0,2,3,177.5
2,5,0,6,0,2,1,132.5
0,1,0,1,0,1,1,19.499
0,1,0,1,0,1,2,30.499
1,1,0,0,0,1,1,200.0
1,3,0,6,2,2,2,157.465
0,1,0,6,0,1,2,33.499
2,6,0,6,2,1,1,157.465
0,1,0,6,0,1,1,33.499
2,4,0,6,0,2,1,117.499
0,1,0,6,0,2,2,31.499
2,4,0,6,0,2,3,122.499
0,0,0,1,0,1,2,30.499
1,2,0,6,1,1,1,80.0
2,3,0,3,0,1,1,70.499
2,3,0,6,0,3,1,102.499
0,1,0,2,0,2,3,40.499
2,4,0,6,0,2,1,122.499
2,3,0,5,2,1,1,157.465
2,6,0,6,2,1,3,192.465
2,3,0,6,0,2,1,97.499
2,2,0,3,0,1,3,77.499
1,1,0,5,0,2,2,45.499
2,7,0,5,1,1,1,175.968
1,1,0,3,0,2,2,50.499
2,2,0,2,0,2,1,69.499
1,3,0,5,0,2,3,53.499
2,7,0,0,0,1,5,22.499
1,2,0,6,0,2,2,82.499
2,4,0,6,0,2,3,107.499
2,5,0,6,0,2,1,192.5
2,2,0,4,0,2,1,69.499
1,2,0,6,0,2,4,68.499
2,5,0,5,0,2,3,147.5
2,3,0,6,0,2,1,92.499
1,2,0,3,0,2,3,40.499
2,4,0,6,0,2,1,117.499
0,1,0,6,0,2,1,43.499
2,4,0,6,0,4,1,132.5
2,6,0,2,0,2,1,112.499
0,1,0,6,0,2,1,45.499
2,3,0,2,0,2,5,77.499
2,3,0,5,0,2,2,72.499
2,1,1,5,0,2,2,50.499
2,5,0,6,0,1,2,117.499
2,3,0,2,0,2,1,72.499
2,4,0,4,0,1,1,51.499
2,7,0,3,0,1,7,102.499
2,3,0,6,0,2,2,77.499
2,6,0,4,1,1,3,112.0
1,1,0,3,0,2,2,45.499
1,2,0,6,0,2,1,58.499
2,2,0,4,0,2,2,60.499
2,3,0,6,0,2,2,132.5
1,1,0,1,0,1,4,24.499
0,1,0,3,0,2,1,37.499
1,1,0,0,0,3,3,35.499
2,6,0,6,0,3,1,107.499
2,3,0,1,0,1,2,24.499
0,1,0,2,1,1,4,143.968
1,2,1,6,1,1,1,48.0
2,5,0,6,2,1,1,157.465
1,2,0,4,0,3,3,42.499
1,2,0,6,0,2,1,82.499
2,2,0,3,0,2,2,92.499
2,7,0,6,0,2,1,200.0
1,1,0,1,0,4,5,35.499
2,3,0,6,0,2,2,137.5
1,3,0,6,0,2,2,92.499
2,3,0,6,0,2,1,77.499
0,1,1,6,0,2,1,77.499
2,6,0,5,0,1,1,200.0
2,7,0,3,1,1,8,272.0
2,4,0,3,0,2,4,55.499
1,1,0,6,0,1,4,22.499
0,0,0,6,0,2,2,42.499
1,1,0,2,0,3,1,45.499
2,4,0,2,0,2,1,77.499
0,1,0,6,0,2,1,55.499
1,2,1,6,0,2,1,50.499
0,1,0,5,0,2,1,32.499
2,6,0,6,0,2,3,70.499
2,4,0,5,0,1,1,87.499
2,4,0,5,0,2,4,112.499
1,1,1,6,0,2,2,45.499
2,7,0,5,0,2,1,69.499
0,1,0,3,0,1,3,40.499
1,2,0,6,0,3,2,40.499
2,6,0,6,0,1,4,112.499
2,2,0,6,0,2,2,92.499
0,0,0,0,0,1,1,19.499
1,2,0,3,1,1,1,112.0
2,3,0,6,0,1,2,97.499
2,4,0,4,0,2,1,87.499
0,0,0,3,0,1,6,30.499
1,2,0,3,0,2,1,55.499
0,1,0,5,0,2,1,51.499
2,2,0,5,0,2,2,77.499
0,1,0,3,0,2,1,40.499
2,2,0,4,0,2,3,92.499
1,3,0,1,1,1,3,112.0
0,1,0,2,0,2,1,20.499
1,2,0,2,0,2,2,57.499
1,2,0,3,1,1,1,80.0
0,1,0,6,0,2,3,28.499
1,1,0,6,0,2,1,28.499
0,0,0,0,0,2,1,20.499
2,6,0,3,0,2,4,82.499
2,3,0,5,0,2,6,59.499
2,5,0,3,0,2,1,68.499
0,1,0,5,1,1,1,80.0
1,2,0,6,0,2,3,102.499
2,3,0,6,0,2,1,127.499
1,1,0,0,0,2,2,35.499
1,2,0,3,0,2,1,55.499
2,3,0,6,0,1,1,102.499
1,3,0,6,0,2,2,92.499
0,1,0,5,0,2,1,37.499
2,2,1,2,0,1,4,82.499
